-2.2925,-0.8749, 3.7022,-1.3045, 2.5850, 4.8269, 4.6997,-0.1790, 1.2912, 3.2898,-4.5524,-3.2205, 1.6155, 2.1297, 3.0265, 1.9406,-3.7737,-1.4042, 1.2022,-3.9073
-0.1541,-2.5538, 4.1690, 3.8694, 4.7616, 3.1307, 1.7209, 1.8921,-2.6883, 0.1580,-2.9392, 1.4121,-0.9198,-2.0930, 3.1413, 2.8758,-4.1753, 4.4917, 1.6170, 0.3611
-2.7163, 0.3506, 4.9500,-0.3796, 1.1774,-2.6588,-1.7458, 2.4257,-1.5305, 4.0642,-2.9017,-1.9428,-1.8318, 3.8367,-3.4944, 1.8664,-1.1546, 2.8074, 0.5408, 1.5328
-3.8477,-0.9225,-0.1437,-2.5438,-2.9533, 4.0269,-0.6004,-3.7141, 0.2136, 4.9698,-2.0451, 0.0932,-4.7701, 1.1225,-3.5930,-4.1574,-2.4456,-2.5144, 4.2181, 4.5730
 2.1628, 0.5240,-3.9679,-0.7035, 3.3242, 4.8592, 1.1883, 4.0077,-1.5574,-1.0486,-4.3072, 3.3727, 2.9000,-1.9980,-4.5646,-4.5345,-2.9242, 3.9743, 3.6788,-4.2071
 2.3023, 1.7779, 0.8999,-2.2936,-4.0023,-1.6298,-4.4142,-1.5192,-2.6392, 0.5824, 1.6400,-3.1086, 2.4926,-4.8250, 4.9438,-2.8883, 4.7759,-3.3735,-0.5532, 2.2582
-3.9278, 1.9026,-1.1035, 0.2569,-0.8929, 1.2585,-3.2830,-2.3531, 1.3141,-2.5528,-4.4981,-4.0723, 2.0008, 1.6227, 1.1833,-0.2043, 1.5170,-3.2347, 0.8325,-2.1266
-2.8941, 1.2808,-3.7078, 2.2308,-4.2737,-0.4005, 1.6680, 3.8434,-3.7837,-0.1241,-3.0387,-0.1917, 3.4448,-0.5551, 4.5067, 4.0441,-2.8149, 3.0716, 4.8508, 1.5375
-1.7603, 2.9231, 3.8959,-2.7149, 2.2687, 4.2493, 3.2868, 0.2261,-3.4516, 0.0379,-4.4833, 1.9096,-0.5624,-2.1909,-0.9927, 4.3302, 2.9224,-0.8023,-4.7207, 0.3933
-0.4722,-4.9918,-0.9651,-2.2624, 3.9046,-0.8725, 4.6438,-4.3985, 1.4686, 4.5458, 0.0772, 4.4581,-0.9895,-4.3575, 1.4454,-3.2931,-1.4747,-1.9112, 0.7031, 0.4500
-3.8638,-2.2969,-3.9444, 4.7788, 1.1628,-4.2849,-2.1523, 1.4226,-1.0035, 1.0151,-4.5991, 2.3284,-2.7910, 3.0151,-1.8858, 3.0345, 3.4244,-2.2942,-2.5310, 3.9342
-3.7238,-4.0203, 0.0064, 1.1065, 4.0466, 1.7726, 4.6689,-0.7250, 3.2815,-4.6761,-0.6988, 2.3351,-3.0994, 1.1067,-4.8426,-3.8825,-4.6495,-2.1909, 0.0775,-1.3814
-3.1892, 1.3626, 0.7176,-2.8898, 3.3954, 4.1253,-4.1895,-2.5492, 4.5892, 4.5172, 3.2786, 1.9532, 2.4100,-0.5897,-0.1418,-2.0190,-1.9612,-3.6749, 1.1455,-0.3862
 2.6683,-3.5332, 1.7582, 1.2542,-1.8747, 2.1211, 1.9234,-0.3144, 1.8797, 1.0091, 3.5204,-1.1583,-1.8268,-2.0896, 1.0110,-4.8214,-2.9547, 0.1578,-1.9076,-1.6316
