 3.6894, 0.0446,-0.2860,-0.1507, 0.0991,-0.2203,-0.2007, 0.3273, 0.1064,-0.0449,-0.0533,-0.1655,-0.0614, 0.2506, 0.0814,-0.2869, 0.0076,-0.3531, 0.0780, 0.0516, 0.0474, 0.2482, 0.1869, 0.2861, 0.0662,-0.0487,-0.2857, 0.0332, 0.1034,-0.6247,-0.2617, 0.1239,-0.4044,-0.0735,-0.0363,-0.1256, 0.0679, 0.0224,-0.0783, 0.2417, 0.0940,-0.0753, 0.1293, 0.0634,-0.2882, 0.1780, 0.0067, 0.0738, 0.0618, 0.0390,-0.0560, 0.2091, 0.2104, 0.3876, 0.1416, 0.3264, 0.1750,-0.1625,-0.1240, 0.0946
 0.0446, 3.1898, 0.1376, 0.3649, 0.1056,-0.3500, 0.0240, 0.0648, 0.1695,-0.1871,-0.2677,-0.0921, 0.1748,-0.1578, 0.2257,-0.0387,-0.0286, 0.1615, 0.0261,-0.2024, 0.0578, 0.0705, 0.3723,-0.0591, 0.0049,-0.1528,-0.0080,-0.3394, 0.2899, 0.2313,-0.1619, 0.2570,-0.1396, 0.0275,-0.0686,-0.3058, 0.0852,-0.0641, 0.2216, 0.2716, 0.0301,-0.3009, 0.0336, 0.1523, 0.0393, 0.0559, 0.1460,-0.3443, 0.0095, 0.1462,-0.1228,-0.1255, 0.2579, 0.1176,-0.3598, 0.0499, 0.0502, 0.3446, 0.2506, 0.2757
-0.2860, 0.1376, 3.0389, 0.0508,-0.0240,-0.0006, 0.0116, 0.0636, 0.0382,-0.0438, 0.1034, 0.2936,-0.1038,-0.0972,-0.3121,-0.2177,-0.1299,-0.1154, 0.0644, 0.1081,-0.0124, 0.1678, 0.1934,-0.1461,-0.2876,-0.0151,-0.5519,-0.0103, 0.0077, 0.0098, 0.0267, 0.0567,-0.1676,-0.0512,-0.3061, 0.0114, 0.0031, 0.0157, 0.2925, 0.1504, 0.0415,-0.0527,-0.2176,-0.0349,-0.0079,-0.3384,-0.3497,-0.1159, 0.5218,-0.2805, 0.1200, 0.0454,-0.2077,-0.2034, 0.2464, 0.0344,-0.2117,-0.1507,-0.2655, 0.1435
-0.1507, 0.3649, 0.0508, 3.3308, 0.0898, 0.0990, 0.2135,-0.0236,-0.2898, 0.1064, 0.0321, 0.2186, 0.0572, 0.0925,-0.2543, 0.3126,-0.0528,-0.0066,-0.3232, 0.3202,-0.0169, 0.1291,-0.1597, 0.0316,-0.2767, 0.2747,-0.2814, 0.1091, 0.0969, 0.2957,-0.0328, 0.3612,-0.4354, 0.4027,-0.0726, 0.0211,-0.0131,-0.0487, 0.2110, 0.0029,-0.5319,-0.0007,-0.0893,-0.0119,-0.2843, 0.1640, 0.0233,-0.2583,-0.3903, 0.1193,-0.0765, 0.0734, 0.4967,-0.0076, 0.1286, 0.1537, 0.1253, 0.0824, 0.2397,-0.0454
 0.0991, 0.1056,-0.0240, 0.0898, 3.5311,-0.1789,-0.3886, 0.2606, 0.2965, 0.0101, 0.0070,-0.2341,-0.0756, 0.2755, 0.3962,-0.0977,-0.2305, 0.0577,-0.0510,-0.1150, 0.1399, 0.1123,-0.0885,-0.2421, 0.1929, 0.0650,-0.1458,-0.0815, 0.0513,-0.0545, 0.3899,-0.0343,-0.0011, 0.1683, 0.1710,-0.0188, 0.2490,-0.1841, 0.2654,-0.1285,-0.0798,-0.0733,-0.2610,-0.2047, 0.1627,-0.3034,-0.1861,-0.0309,-0.0767, 0.2094, 0.0485, 0.0938, 0.0473,-0.0836, 0.2795, 0.1412, 0.2084, 0.0379, 0.0648,-0.1636
-0.2203,-0.3500,-0.0006, 0.0990,-0.1789, 3.4467, 0.2330,-0.2762, 0.0481, 0.0115,-0.2090,-0.2001,-0.2880, 0.1709,-0.0056,-0.1357, 0.0320, 0.0782, 0.1896,-0.0091,-0.0637, 0.3976,-0.0505,-0.2212, 0.1892, 0.0488, 0.1418,-0.0730, 0.0694,-0.1527, 0.5211, 0.0576,-0.0564, 0.1421,-0.0221, 0.0273,-0.0370,-0.1064, 0.0386, 0.1198, 0.0761,-0.0122,-0.2932,-0.0393, 0.0251,-0.1285, 0.1765, 0.1798, 0.1207,-0.0208, 0.0441,-0.3235,-0.0613, 0.1321, 0.1394, 0.1782,-0.2710, 0.3594, 0.0162,-0.3377
-0.2007, 0.0240, 0.0116, 0.2135,-0.3886, 0.2330, 3.3926,-0.1001, 0.1239, 0.1990,-0.1029, 0.3255, 0.1362,-0.5241, 0.1577,-0.7393,-0.0268,-0.3584, 0.0450,-0.3960,-0.1878,-0.2100,-0.2873, 0.1221, 0.2776, 0.4721, 0.0782, 0.2541,-0.0138, 0.2380, 0.2582, 0.1768,-0.0322, 0.1394,-0.1841,-0.1068,-0.1069,-0.1577,-0.3077, 0.3255,-0.0679,-0.0263,-0.1409, 0.0646,-0.3381,-0.0860, 0.0186,-0.0894,-0.1811,-0.1033,-0.0190, 0.0481,-0.0732, 0.2506,-0.0713, 0.0282,-0.2417,-0.0224, 0.4214, 0.1036
 0.3273, 0.0648, 0.0636,-0.0236, 0.2606,-0.2762,-0.1001, 3.2363, 0.2276, 0.1525,-0.0493, 0.0575, 0.4957,-0.0179,-0.1994, 0.1853, 0.0066,-0.0169, 0.3282, 0.1864, 0.1542,-0.1831,-0.1101, 0.3838, 0.0708, 0.0822, 0.2816, 0.0010, 0.1772, 0.0497, 0.0463,-0.0152,-0.0842, 0.0645, 0.2248,-0.0503,-0.0915, 0.2215, 0.1582, 0.1854, 0.1014, 0.3873,-0.1812,-0.2247, 0.2638, 0.0514,-0.0175, 0.0383,-0.0297,-0.2310,-0.0442,-0.1266, 0.1036, 0.1510, 0.1967,-0.1886, 0.0727, 0.3447,-0.2064,-0.0167
 0.1064, 0.1695, 0.0382,-0.2898, 0.2965, 0.0481, 0.1239, 0.2276, 3.2884,-0.1265, 0.0230, 0.2014,-0.0506, 0.0168, 0.0306,-0.0570, 0.2945, 0.3066, 0.2476, 0.0473,-0.1853, 0.4559,-0.0969,-0.0882, 0.1398,-0.2235, 0.0018, 0.2138, 0.3397,-0.1312, 0.2023, 0.0366, 0.0550,-0.1567, 0.2684,-0.0583,-0.0096, 0.1000, 0.0691,-0.1149,-0.0631, 0.0236,-0.0768, 0.0295, 0.2177, 0.1183,-0.2317,-0.0100, 0.1816, 0.1176,-0.3246, 0.1750, 0.1047, 0.2189,-0.1480, 0.4658, 0.0173, 0.4162, 0.2569,-0.1808
-0.0449,-0.1871,-0.0438, 0.1064, 0.0101, 0.0115, 0.1990, 0.1525,-0.1265, 3.1829, 0.0156,-0.0216, 0.0682,-0.1533, 0.1775, 0.0240,-0.0350,-0.0320, 0.3878, 0.2005,-0.0467, 0.0521, 0.2570, 0.3835, 0.3563,-0.0415, 0.0413,-0.3829, 0.2387, 0.0847,-0.0573,-0.1976, 0.3241, 0.4686, 0.0911,-0.3795,-0.2832, 0.2142,-0.1068,-0.0367, 0.0193, 0.2127, 0.0157,-0.0674,-0.2559, 0.4875, 0.0381,-0.0966,-0.0522,-0.1402, 0.0633, 0.1552,-0.2884,-0.1936, 0.1976, 0.2258, 0.3313,-0.2684,-0.1821, 0.2251
