 2.6559,-0.1232, 0.1389, 0.1428, 0.1962, 0.3654, 0.2925,-0.0446, 0.1339,-0.4094, 0.4643, 0.3855, 0.1615,-0.0788,-0.1577,-0.1111, 0.1017,-0.3588,-0.4006,-0.1775,-0.2199,-0.6117,-0.1749,-0.0253, 0.1955,-0.0057, 0.0559,-0.2163,-0.1307, 0.2357
-0.1232, 2.8791, 0.2626,-0.6610,-0.0510,-0.2588, 0.3198, 0.1004,-0.3927,-0.0207, 0.3626,-0.1902, 0.0520,-0.1040,-0.0482, 0.0387,-0.0478, 0.0942, 0.1171, 0.1281,-0.0763,-0.1615, 0.0152, 0.2076, 0.1021, 0.4176, 0.4874, 0.2735, 0.1383, 0.1964
 0.1389, 0.2626, 2.3783, 0.0861,-0.2020, 0.3376, 0.2360,-0.0944, 0.2900,-0.1634,-0.0126, 0.0112,-0.0321,-0.0453,-0.2447, 0.0204,-0.5112, 0.0057,-0.0355,-0.0563,-0.1859, 0.4350,-0.2676, 0.0285, 0.0609, 0.6269, 0.3318, 0.2621, 0.0972,-0.1479
 0.1428,-0.6610, 0.0861, 2.6131, 0.3195, 0.0387,-0.0167, 0.0898, 0.0863, 0.1526, 0.0454, 0.1900, 0.0486,-0.3345, 0.1882, 0.1042,-0.2925, 0.1250, 0.3225, 0.1034,-0.3466, 0.2119, 0.3117, 0.0776,-0.2454, 0.0684,-0.1887, 0.3253,-0.1723,-0.0273
 0.1962,-0.0510,-0.2020, 0.3195, 3.1489, 0.0904,-0.0621, 0.3840, 0.0826, 0.0895,-0.0347,-0.0557, 0.3104,-0.3007, 0.0735, 0.2590,-0.1084,-0.3767,-0.0728,-0.2266, 0.0842,-0.0419,-0.0228,-0.2818, 0.0511, 0.2679, 0.0809,-0.1185, 0.0712,-0.2348
 0.3654,-0.2588, 0.3376, 0.0387, 0.0904, 3.1727, 0.0945,-0.1420, 0.1911,-0.4749,-0.1233, 0.1066, 0.2760,-0.3219,-0.4777, 0.2263,-0.4956,-0.2557, 0.2980,-0.1502, 0.1489,-0.2735,-0.0621,-0.1519,-0.0036,-0.1644, 0.0484,-0.1435,-0.3942,-0.1940
 0.2925, 0.3198, 0.2360,-0.0167,-0.0621, 0.0945, 2.9998,-0.1375, 0.0968, 0.1208,-0.3108, 0.1407,-0.2340, 0.0037,-0.0259,-0.2012, 0.0710, 0.1722,-0.0516, 0.0270, 0.0829, 0.0957, 0.1260, 0.2401, 0.0970,-0.0184,-0.1867, 0.3710,-0.3674,-0.3078
-0.0446, 0.1004,-0.0944, 0.0898, 0.3840,-0.1420,-0.1375, 3.1033, 0.2799,-0.0765,-0.0501, 0.2202, 0.3703,-0.0306, 0.0437, 0.0460,-0.0267,-0.1065, 0.2786, 0.1716, 0.0848, 0.1923, 0.0661,-0.5412, 0.4914,-0.2028, 0.1612, 0.1857,-0.1559, 0.3190
 0.1339,-0.3927, 0.2900, 0.0863, 0.0826, 0.1911, 0.0968, 0.2799, 2.8226,-0.1316, 0.0112, 0.2173, 0.3856, 0.3910,-0.1352,-0.3505,-0.4008,-0.2530, 0.1971,-0.2646, 0.5118, 0.2272,-0.0300, 0.2328,-0.5450,-0.1789,-0.4653, 0.0347, 0.0204,-0.3197
-0.4094,-0.0207,-0.1634, 0.1526, 0.0895,-0.4749, 0.1208,-0.0765,-0.1316, 2.2858,-0.0412, 0.1384,-0.0292, 0.0842, 0.1483, 0.1698,-0.1291,-0.0446,-0.1748, 0.1897, 0.3165, 0.0248, 0.1876,-0.2410,-0.0133,-0.0302,-0.0030, 0.1916, 0.2296, 0.3435
