3, 2, 1.99, 0.05
5, 3, 2.96, 0.07
5, 8, 7.82, 0.17
10, 3, 3.01, 0.07
10, 8, 7.89, 0.17
10, 5, 5.42, 0.22
10, 5, 4.95, 0.21
10, 13, 12.80, 0.36
10, 21, 20.77, 0.52
10, 29, 28.92, 0.66
10, 37, 37.22, 0.82
10, 45, 47.34, 0.97
10, 53, 58.61, 1.12
10, 61, 62.72, 1.38
10, 69, 70.08, 1.38
10, 77, 78.69, 1.52
10, 85, 87.25, 1.66
10, 93, 101.40, 1.79
20, 5, 4.95, 0.23
20, 13, 12.76, 0.36
20, 21, 21.45, 0.52
20, 29, 28.67, 0.65
20, 37, 39.82, 0.80
20, 45, 51.54, 1.11
20, 53, 56.66, 1.15
20, 61, 66.67, 1.30
20, 69, 75.97, 1.40
20, 77, 84.84, 1.63
20, 85, 94.38, 1.70
20, 93, 104.61, 1.82
30, 5, 5.91, 0.27
30, 13, 14.05, 0.40
30, 21, 21.16, 0.53
30, 29, 29.00, 0.67
30, 37, 37.00, 0.83
30, 45, 45.34, 0.95
30, 53, 54.15, 1.29
30, 61, 64.20, 1.26
30, 69, 71.03, 1.43
30, 77, 79.71, 1.55
30, 85, 89.68, 1.68
30, 93, 99.49, 1.84
10, 5, 3.67, 0.13
10, 13, 8.99, 0.26
10, 21, 14.46, 0.40
10, 29, 19.83, 0.55
10, 37, 27.47, 0.70
10, 45, 31.38, 0.84
10, 53, 36.99, 0.99
10, 61, 42.81, 1.13
10, 69, 49.10, 1.27
10, 77, 55.09, 1.41
10, 85, 61.50, 1.56
10, 93, 67.91, 1.71
20, 5, 3.43, 0.12
20, 13, 8.83, 0.26
20, 21, 14.31, 0.40
20, 29, 20.07, 0.56
20, 37, 25.55, 0.69
20, 45, 31.45, 0.85
20, 53, 37.37, 1.00
20, 61, 43.76, 1.14
20, 69, 55.88, 1.30
20, 77, 58.19, 1.45
20, 85, 67.16, 1.59
20, 93, 70.88, 2.06
30, 5, 3.46, 0.13
30, 13, 8.84, 0.26
30, 21, 14.36, 0.41
30, 29, 20.14, 0.55
30, 37, 27.42, 0.88
30, 45, 32.77, 0.84
30, 53, 39.00, 0.98
30, 61, 43.48, 1.13
30, 69, 49.62, 1.29
30, 77, 55.80, 1.42
30, 85, 62.12, 1.57
30, 93, 68.65, 1.71
10, 5, 3.63, 0.13
10, 13, 8.76, 0.27
10, 5, 3.61, 0.13
10, 13, 9.20, 0.26
3, 2, 1.44, 0.13
3, 2, 1.41, 0.12
3, 2, 1.42, 0.05
3, 2, 1.45, 0.16
3, 2, 1.41, 0.16
3, 2, 1.41, 0.16
3, 2, 1.49, 0.05
3, 2, 1.41, 0.05
3, 2, 1.47, 0.06
3, 2, 1.54, 0.05
3, 2, 1.43, 0.05
3, 2, 1.44, 0.16
3, 2, 1.44, 0.05
3, 2, 1.46, 0.04
3, 2, 1.40, 0.05
3, 2, 1.37, 0.15
3, 2, 1.44, 0.16
3, 2, 1.45, 0.16
3, 2, 1.41, 0.05
3, 2, 1.49, 0.05
3, 2, 1.55, 0.15
3, 2, 1.39, 0.06
3, 2, 1.52, 0.06
3, 2, 1.42, 0.18
3, 2, 1.53, 0.17
3, 2, 1.44, 0.16
3, 2, 1.45, 0.05
3, 2, 1.41, 0.16
3, 2, 1.47, 0.06
3, 2, 1.40, 0.15
3, 2, 1.54, 0.05
3, 2, 1.46, 0.16
3, 2, 1.56, 0.05
3, 2, 1.55, 0.06
3, 2, 1.43, 0.17
3, 2, 1.46, 0.05
3, 2, 1.50, 0.16
3, 2, 1.43, 0.15
10, 5, 3.61, 0.23
10, 5, 3.57, 0.23
10, 5, 3.58, 0.21
10, 5, 3.41, 0.15
10, 5, 3.75, 0.24
10, 5, 3.74, 0.14
10, 5, 3.44, 1.12
10, 5, 3.60, 0.14
5, 3, 2.05, 0.34
5, 3, 2.07, 0.40
10, 8, 5.45, 0.17
20, 13, 9.84, 0.56
10, 5, 3.47, 0.23
10, 5, 3.37, 0.22
10, 5, 3.46, 0.43
5, 3, 2.04, 0.38
5, 3, 2.11, 0.08
5, 3, 2.07, 0.07
20, 13, 9.54, 1.12
3, 2, 1.41, 0.15
3, 2, 1.41, 0.05
3, 2, 1.48, 0.06
5, 3, 2.11, 0.18
10, 5, 3.53, 0.23
50, 13, 10.25, 0.45
20, 13, 10.17, 0.29
20, 13, 9.26, 0.41
5, 3, 2.31, 0.08
10, 8, 5.66, 0.27
5, 3, 2.10, 0.17
60, 13, 10.14, 0.44
60, 13, 10.44, 0.34
60, 13, 9.88, 0.42
60, 13, 9.88, 0.40
60, 13, 9.74, 0.30
60, 13, 9.90, 0.41
60, 13, 9.85, 0.44
60, 13, 9.87, 0.30
60, 13, 10.09, 0.36
60, 13, 9.82, 0.29
50, 21, 17.48, 0.46
30, 13, 9.48, 0.34
90, 37, 30.40, 1.12
3, 2, 1.38, 0.42
3, 2, 1.38, 1.15
3, 2, 1.52, 0.10
5, 3, 2.07, 0.12
20, 13, 9.24, 0.87
20, 13, 9.05, 1.50
20, 13, 9.10, 0.87
20, 13, 9.27, 1.29
20, 13, 9.27, 0.59
20, 13, 9.90, 0.31
20, 13, 8.99, 0.82
20, 13, 8.57, 2.16
