3, 2, 1.34
10, 5, 3.26
10, 13, 8.17
10, 21, 13.14
10, 29, 18.29
10, 37, 23.57
10, 45, 28.95
10, 53, 34.38
10, 61, 40.08
10, 69, 45.78
10, 77, 51.44
10, 85, 57.30
10, 93, 63.53
20, 5, 3.19
20, 13, 8.22
20, 21, 13.33
20, 29, 18.55
20, 37, 23.87
20, 45, 29.27
20, 53, 34.87
20, 61, 40.55
20, 69, 45.88
20, 77, 51.47
20, 85, 57.40
20, 93, 63.47
30, 5, 3.20
30, 13, 8.22
30, 21, 13.35
30, 29, 18.56
30, 37, 23.92
30, 45, 29.37
30, 53, 34.91
30, 61, 40.53
30, 69, 46.35
30, 77, 52.05
30, 85, 58.09
30, 93, 64.00
40, 5, 3.26
40, 13, 8.35
40, 21, 13.53
40, 29, 18.85
40, 37, 24.25
40, 45, 29.73
40, 53, 35.28
40, 61, 41.00
40, 69, 46.81
40, 77, 52.75
40, 85, 58.65
40, 93, 64.71
50, 5, 3.49
50, 13, 8.62
50, 21, 14.00
50, 29, 19.28
50, 37, 24.82
50, 45, 30.51
50, 53, 36.21
50, 61, 42.11
50, 69, 47.95
50, 77, 53.96
50, 85, 60.11
50, 93, 66.25
60, 5, 3.40
60, 13, 8.73
60, 21, 15.45
60, 29, 19.67
60, 37, 25.10
60, 45, 30.62
60, 53, 36.34
60, 61, 42.12
60, 69, 48.06
60, 77, 54.12
60, 85, 60.34
60, 93, 66.47
70, 5, 3.51
70, 13, 8.83
70, 21, 14.16
70, 29, 19.65
70, 37, 25.28
70, 45, 30.95
70, 53, 36.84
70, 61, 42.61
70, 69, 48.64
70, 77, 54.78
70, 85, 60.99
70, 93, 67.20
80, 5, 3.57
80, 13, 8.95
80, 21, 14.39
80, 29, 20.04
80, 37, 25.57
80, 45, 31.38
80, 53, 37.23
80, 61, 43.57
80, 69, 51.28
80, 77, 55.55
80, 85, 61.59
80, 93, 68.02
